"location","name","cuisine","type","need_booking","can_takeaway","healthy","restaurant","bar","breakfast","lunch","dinner","rm_per_pax_min","rm_per_pax_max","min_pax","max_pax","live_sports","live_band","km_from_mv","min_bycar_from_mv","fancy_scale","waiting_minutes","boss_friendly","leaves_smell","portion_size","serves_wine","serves_beer","serves_gin"
"Midvalley","Ko Hyang","korean","setmeal",0,1,1,1,0,0,1,1,18,24,1,10,0,0,0,0,2,15,0,0,3,0,0,0
"Midvalley","Ho Min San","chinese","setmeal",0,1,1,1,0,0,1,1,15,20,1,10,0,0,0,0,2,15,0,0,2,0,0,0
"Midvalley","Beauty in a Pot","chinese","hotpot",1,0,1,1,0,0,1,1,90,100,1,15,0,0,0,0,6,30,0,1,99,0,0,0
"Midvalley","Siao Long Kan","chinese","hotpot",1,0,1,1,0,0,1,1,90,100,,,,,,,,,,,,,,
"Midvalley","McDonalds","western","fastfood",0,1,1,1,0,1,1,1,,15,1,5,0,0,0,0,1,10,0,0,3,0,0,0
"Midvalley","Zok","chinese","setmeal",0,1,1,1,0,0,1,1,,18,1,,,,0,0,,,,,,,,
"Midvalley","Go Noodle","chinese","setmeal",0,1,1,1,0,0,1,1,,18,1,,,,0,0,,,,,,,,
"Midvalley","Ichiriki","japanese","setmeal",0,1,1,1,0,0,1,1,,30,1,,,,0,0,,,,,,,,
"Midvalley","Yayoi","japanese","setmeal",0,1,1,1,0,0,1,1,,25,1,,,,0,0,,,,,,,,
"Midvalley","Tiffin","thai","setmeal",0,1,1,1,0,0,1,1,,20,1,,,,0,0,,,,,,,,
"Midvalley","PhoViet","vietnamese","setmeal",0,1,1,1,0,0,1,1,,20,,,,,0,0,,,,,,,,
"Midvalley","Din Tai Fung","chinese","setmeal",0,1,1,1,0,0,1,1,,25,,,,,0,0,,,,,,,,
"Midvalley","Dragon i","chinese","setmeal",0,1,1,1,0,0,1,1,,25,,,,,0,0,,,,,,,,
"Midvalley","Fong Lye","chinese","setmeal",0,1,1,1,0,0,1,1,,30,,,,,0,0,,,,,,,,
"Midvalley","Village Roast Duck","chinese","setmeal",0,1,1,1,0,0,1,1,,20,,,,,0,0,,,,,,,,
"Midvalley","Little Penang","malaysian","setmeal",0,1,1,1,0,0,1,1,,20,,,,,0,0,,,,,,,,
"Midvalley","Yoshinoya","japanese","setmeal",0,1,1,1,0,0,1,1,,15,,,,,0,0,,,,,,,,
"Midvalley","Ying Ker Lou","chinese","setmeal",0,1,1,1,0,0,1,1,,25,,,,,,,,,,,,,,
"Midvalley","Ippudo","japanese","setmeal",0,1,1,1,0,0,1,1,,35,,,,,,,,,,,,,,
"Midvalley","Subway","western","healthy",0,1,1,1,0,1,1,1,,15,,,,,,,,,,,,,,
"Midvalley","Agrain","western","healthy",0,1,3.5,1,0,1,1,1,,17,,,,,,,,,,,,,,
"Midvalley","Simply Green","western","healthy",0,1,4.5,1,0,0,1,1,,20,,,,,,,,,,,,,,
"Midvalley","BMS","chinese","healthy",0,1,5,1,0,0,1,1,,20,,,,,,,,,,,,,,
"Midvalley","Nandos","western","setmeal",0,1,1,1,0,0,1,1,,22,,,,,,,,,,,,,,
"Midvalley","Mak Chee","chinese","setmeal",0,1,1,1,0,0,1,1,,18,,,,,,,,,,,,,,
"Midvalley","Library","western","setmeal",0,0,1,1,1,0,1,1,,25,,,,,,,,,,,,,,
"Midvalley","Brotzeit","western","setmeal",0,0,1,1,1,0,1,1,,25,,,,,,,,,,,,,,
"Midvalley","Toastbox","malaysian","setmeal",0,1,1,1,0,1,1,1,,11,,,,,,,,,,,,,,
"Midvalley","Nyonya","malaysian","setmeal",0,1,1,1,0,1,1,1,,11,,,,,,,,,,,,,,
"Midvalley","Nyonya Leaf","malaysian","setmeal",0,1,1,1,0,1,1,1,,11,,,,,,,,,,,,,,
"Midvalley","Fish Head","chinese","setmeal",0,1,1,1,0,1,1,1,,15,,,,,,,,,,,,,,
"Midvalley","KFC","western","fastfood",0,1,1,1,0,0,1,1,,20,,,,,,,,,,,,,,
"Midvalley","Starbucks","drinks","coffeeplace",0,1,1,0,0,0,0,0,,10,,,,,,,,,,,,,,
"Midvalley","T&CO","drinks","coffeeplace",0,1,1,0,0,0,0,0,,10,,,,,,,,,,,,,,
"Midvalley","Blue Jamaica","drinks","coffeeplace",0,1,1,0,0,0,0,0,,10,,,,,,,,,,,,,,
"Midvalley","Eight Ounce","drinks","coffeeplace",0,1,1,0,0,0,0,0,,10,,,,,,,,,,,,,,
"Midvalley","Popcorn","mixed","foodcourt",0,1,1,0,0,0,1,1,,15,,,,,,,,,,,,,,
"Midvalley","The Barn","western","setmeal",0,1,1,1,1,0,1,1,,25,,,,,,,,,,,,,,
"Midvalley","Amarin","thai","setmeal",0,1,1,1,0,0,1,1,,30,,,,,,,,,,,,,,
"Midvalley","Antipodean","western","setmeal",0,1,1,1,0,1,1,1,,30,,,,,,,,,,,,,,
"Midvalley","Thai Hou Sek","thai","setmeal",0,1,1,1,0,0,1,1,,25,,,,,,,,,,,,,,
"Central KL","Isabel","asian","meal",1,0,1,1,1,0,0,1,,65,1,10,0,0,0,0,8,30,1,0,3,1,0,0
"Bangsar","Proof","italian","meal",1,0,1,1,1,0,0,1,,50,1,15,0,0,0,0,7,30,1,0,3,1,0,0
